ID|LABEL|POLICY_ID|CLAIM_ID|PROVIDER_ID|AMOUNT|LICENSE_NUMBER|INSURED_SEX|INSURED_EDUCATION_LEVEL|INSURED_OCCUPATION|INSURED_HOBBIES|INSURED_RELATIONSHIP|INCIDENT_DATE|INCIDENT_TYPE|INCIDENT_CITY|INCIDENT_STATE|INCIDENT_SEVERITY|AUTHORITIES_CONTACTED|POLICE_REPORT_AVAILABLE
M_6.79.0|mbr|Q_6.79||P_175|763.52|W38 2OJ|3|||||2022-03-08|5|Lake Amandashire|WY|3|1|1
M_6.80.0|mbr|Q_6.80||P_104|469.43|JSV1075|0|||||2021-01-02|10|Murphyview|MD|4|0|1
M_6.80.1|mbr|Q_6.80||P_30|231.6|3P826|1|||||2021-09-13|11|Lake Mark|DE|5|0|1
M_6.80.2|mbr|Q_6.80||P_481|957.39|ZHT 145|1|||||2021-08-25|3|Port Edward|VT|6|1|1
M_6.81.0|mbr|Q_6.81||P_65|483.44|969-DVD|3|||||2021-04-28|4|South Edwardport|TX|4|1|0
M_6.81.1|mbr|Q_6.81||P_423|323.78|GU7 0040|3|||||2022-01-10|2|Kathleenport|MS|4|0|1
M_6.82.0|mbr|Q_6.82||P_273|927.96|9N 89238|1|||||2021-04-16|10|West Franciscoland|DE|4|1|1
M_6.83.0|mbr|Q_6.83||P_347|637.97|JH-1587|2|||||2021-01-20|2|Port Petertown|TN|5|1|1
M_6.84.0|mbr|Q_6.84||P_120|526.12|GYR-9403|1|||||2021-04-04|10|Nathanville|DC|2|0|0
M_6.84.1|mbr|Q_6.84||P_445|712.59|1422 JW|1|||||2021-04-06|11|South Brittanymouth|NV|1|0|1
M_6.87.0|mbr|Q_6.87||P_354|151.92|GPO-3078|3|||||2022-02-18|12|Yangland|CA|4|1|1
M_6.87.1|mbr|Q_6.87||P_143|634.81|333GX|3|||||2022-04-13|3|Jasonland|KY|3|1|1
M_6.87.2|mbr|Q_6.87||P_68|325.29|368 SHU|0|||||2021-07-21|6|West Amy|MT|6|1|1
M_6.88.0|mbr|Q_6.88||P_36|941.61|YAV-9233|3|||||2022-03-15|12|South Andrewton|NE|2|0|0
M_6.92.0|mbr|Q_6.92||P_230|487.57|XBA 165|3|||||2022-01-19|0|Lake Wendyville|WA|3|0|1
M_6.93.0|mbr|Q_6.93||P_191|715.47|09-D369|3|||||2021-08-08|11|Powellchester|MT|1|0|1
M_6.94.0|mbr|Q_6.94||P_198|749.85|103 0369|3|||||2022-04-04|13|Christopherburgh|NY|0|0|1
M_6.94.1|mbr|Q_6.94||P_277|374.33|IRE 032|2|||||2022-03-07|9|South Robertshire|CO|2|0|1
M_6.94.2|mbr|Q_6.94||P_103|402.91|PZM-856|1|||||2022-01-27|7|Lake Leah|UT|2|1|0
M_6.95.0|mbr|Q_6.95||P_169|355.09|IIK H26|1|||||2021-12-29|1|East Brooke|LA|2|0|1
M_6.95.1|mbr|Q_6.95||P_498|859.43|0MJP160|2|||||2021-03-31|1|East Christina|NV|1|0|1
M_6.95.2|mbr|Q_6.95||P_426|195.53|0804|2|||||2021-10-26|13|Wilsonview|MN|6|0|1
M_6.97.0|mbr|Q_6.97||P_360|156.26|743-GNL|3|||||2022-04-22|13|Riddleland|NE|3|1|1
M_6.97.1|mbr|Q_6.97||P_183|883.61|407 VDX|2|||||2022-02-22|4|Port Danielberg|MA|1|1|1
M_7.1.0|mbr|Q_7.1||P_139|986.69|3PG 768|2|||||2021-12-25|4|Kaufmanton|CT|1|1|0
M_7.1.1|mbr|Q_7.1||P_359|968.24|HBQ 189|3|||||2021-01-23|7|Thomasview|MA|4|0|0
M_7.3.0|mbr|Q_7.3||P_443|413.96|LWE 371|1|||||2021-11-18|1|South Erica|SD|1|1|1
M_7.3.1|mbr|Q_7.3||P_172|467.36|8351|1|||||2021-11-07|7|New Stacyport|MT|5|1|1
M_7.4.0|mbr|Q_7.4||P_188|580.48|9UBT934|0|||||2021-02-15|6|Lake Patriciaview|GA|6|1|1
M_7.4.1|mbr|Q_7.4||P_411|379.91|WQ 81804|1|||||2021-11-16|6|Dorishaven|VT|1|0|0
M_7.5.0|mbr|Q_7.5||P_282|511.03|35DV707|2|||||2022-03-03|12|Phillipsfort|VA|6|0|1
M_7.5.1|mbr|Q_7.5||P_226|125.72|775 3EI|2|||||2021-04-10|9|Edwardbury|WA|0|1|0
M_7.5.2|mbr|Q_7.5||P_22|707.51|1-4154N|1|||||2022-03-03|9|Lake Lucas|OR|2|1|1
M_7.7.0|mbr|Q_7.7||P_418|927.18|A56 3HK|1|||||2022-01-26|12|North Kelliborough|VT|2|1|1
M_7.7.1|mbr|Q_7.7||P_98|132.44|HFE-394|0|||||2021-08-19|3|Michelleberg|CA|5|0|1
M_7.7.2|mbr|Q_7.7||P_62|818.36|068 KD1|1|||||2021-05-15|3|Lake Robertville|CT|6|0|0
M_7.8.0|mbr|Q_7.8||P_158|598.33|KWQ 271|1|||||2021-05-30|11|West Jessica|UT|1|1|0
M_7.8.1|mbr|Q_7.8||P_414|629.98|35F M96|1|||||2022-01-08|12|Georgemouth|TN|2|0|0
M_7.8.2|mbr|Q_7.8||P_200|422.2|UOE6811|1|||||2022-03-25|1|West Baileyborough|ND|6|0|0
M_7.10.0|mbr|Q_7.10||P_138|310.96|25-AC87|0|||||2021-11-07|2|Walkerport|NJ|3|0|0
M_7.12.0|mbr|Q_7.12||P_427|658.57|J 128525|3|||||2022-04-06|12|Ashleyfort|CT|4|0|1
M_7.12.1|mbr|Q_7.12||P_344|978.81|AMB-888|3|||||2021-05-02|6|East Ralph|MO|4|0|1
M_7.12.2|mbr|Q_7.12||P_148|854.7|MXH-805|2|||||2022-03-14|0|Fisherstad|OH|2|1|0
M_7.13.0|mbr|Q_7.13||P_482|848.26|2PJK 41|1|||||2021-05-25|2|Brendachester|ME|3|0|1
M_7.13.1|mbr|Q_7.13||P_26|515.2|76-2230C|1|||||2021-03-20|11|Lake Debbiefurt|MN|3|0|0
M_7.13.2|mbr|Q_7.13||P_298|497.06|556 FCR|3|||||2021-06-24|0|New Brianfurt|NJ|1|0|0
M_7.14.0|mbr|Q_7.14||P_307|521.75|BIA4012|3|||||2022-04-01|10|East Timothyberg|UT|2|1|0
M_7.16.0|mbr|Q_7.16||P_37|260.0|YAC 701|0|||||2021-08-29|4|South John|AL|2|1|0
M_7.17.0|mbr|Q_7.17||P_272|274.23|BBO 559|3|||||2021-08-16|5|Kaylamouth|MT|5|1|0
M_7.17.1|mbr|Q_7.17||P_30|928.77|417H0|1|||||2021-09-03|1|Bellfort|AL|5|1|1
M_7.18.0|mbr|Q_7.18||P_469|467.47|5XF 595|3|||||2021-01-27|4|West Erica|OK|2|1|0
M_7.18.1|mbr|Q_7.18||P_191|416.68|337 PTV|1|||||2021-03-12|10|Melissatown|NH|3|0|0
M_7.18.2|mbr|Q_7.18||P_491|994.31|7I S7679|3|||||2021-05-05|2|Mcgrathton|PA|2|1|0
M_7.19.0|mbr|Q_7.19||P_35|922.65|64-5918E|3|||||2022-04-30|9|New Christopherburgh|VT|1|1|0
M_7.19.1|mbr|Q_7.19||P_144|427.91|GZ 5022|0|||||2021-08-01|0|Larryfort|NV|1|1|1
M_7.20.0|mbr|Q_7.20||P_168|773.87|Q61-RWJ|1|||||2022-02-22|3|Smithstad|MO|4|1|0
M_7.20.1|mbr|Q_7.20||P_468|842.32|QWL-7995|2|||||2021-03-22|9|Port Gregory|ND|4|0|0
M_7.21.0|mbr|Q_7.21||P_156|279.09|SE5 N8S|0|||||2021-02-22|5|East Diana|KY|2|0|0
M_7.21.1|mbr|Q_7.21||P_176|255.98|257-CAW|1|||||2021-10-02|10|Port Lorraine|UT|0|0|0
M_7.21.2|mbr|Q_7.21||P_427|700.68|77-RH74|3|||||2022-04-05|11|Alexanderborough|WA|0|1|0
M_7.24.0|mbr|Q_7.24||P_163|867.49|25HQ677|3|||||2021-12-01|5|Terriberg|ND|1|1|0
M_7.24.1|mbr|Q_7.24||P_398|138.6|371 UJK|1|||||2021-09-13|10|New Susan|IN|5|1|0
M_7.25.0|mbr|Q_7.25||P_237|779.93|274FUK|1|||||2022-01-12|0|Rachelfurt|TN|2|1|1
M_7.25.1|mbr|Q_7.25||P_195|545.16|6R Y9022|3|||||2021-04-06|6|Mcculloughhaven|TX|0|0|0
M_7.25.2|mbr|Q_7.25||P_137|731.96|JYE 701|0|||||2022-04-04|1|Benjaminborough|MI|5|1|0
M_7.26.0|mbr|Q_7.26||P_101|362.19|5-0892X|3|||||2021-08-03|13|Wrightfurt|KS|6|0|0
M_7.26.1|mbr|Q_7.26||P_341|770.24|6001 MX|1|||||2022-02-03|9|Port Summerstad|FL|1|0|0
M_7.27.0|mbr|Q_7.27||P_466|496.23|443 YML|3|||||2022-04-12|3|Chadville|MI|0|0|1
M_7.27.1|mbr|Q_7.27||P_239|337.65|61O RN4|2|||||2022-02-04|10|Jonesshire|WY|1|0|1
M_7.27.2|mbr|Q_7.27||P_216|103.76|MLE 885|1|||||2021-07-14|7|New Brittany|NV|5|0|0
M_7.28.0|mbr|Q_7.28||P_130|325.51|0BY1090|2|||||2021-01-17|10|Sarahbury|OR|5|0|1
M_7.28.1|mbr|Q_7.28||P_389|210.8|888 AHH|0|||||2021-07-29|9|Harveyview|KY|3|1|1
M_7.29.0|mbr|Q_7.29||P_14|261.15|ZAL 906|2|||||2021-07-29|6|Sheliaborough|IL|6|1|1
M_7.31.0|mbr|Q_7.31||P_492|724.07|V62 3RY|3|||||2022-01-27|8|Saramouth|KY|5|0|1
M_7.31.1|mbr|Q_7.31||P_152|271.61|4-9167G|0|||||2022-01-25|5|New Ian|MD|2|0|1
M_7.31.2|mbr|Q_7.31||P_187|881.45|PJL-658|0|||||2022-04-14|7|North Travisshire|MN|0|1|1
M_7.33.0|mbr|Q_7.33||P_201|513.32|G25-63U|0|||||2021-12-20|3|Jasonside|ND|0|0|0
M_7.33.1|mbr|Q_7.33||P_344|952.81|20-7855Y|2|||||2021-02-16|9|Joneshaven|DE|2|0|1
M_7.33.2|mbr|Q_7.33||P_145|327.34|5006 BD|1|||||2022-01-04|7|Waltonton|ME|4|1|0
M_7.34.0|mbr|Q_7.34||P_131|809.48|6KR M21|3|||||2022-04-02|4|South Pedro|PA|3|0|0
M_7.34.1|mbr|Q_7.34||P_463|611.31|708706|2|||||2021-12-31|10|Mullenhaven|DE|4|1|0
M_7.34.2|mbr|Q_7.34||P_335|328.12|3Z S7886|3|||||2021-08-10|0|Jenniferberg|NH|2|0|0
M_7.35.0|mbr|Q_7.35||P_470|877.61|FVY-003|0|||||2021-12-12|10|South Margaretbury|VA|6|1|0
M_7.35.1|mbr|Q_7.35||P_287|222.37|6W LJ204|3|||||2022-04-24|2|Diazfort|AK|4|0|1
M_7.36.0|mbr|Q_7.36||P_475|616.51|1-L7444|1|||||2021-03-14|2|Thompsonport|RI|3|1|1
M_7.36.1|mbr|Q_7.36||P_151|603.31|5MG 242|2|||||2022-03-09|7|Toddmouth|CO|0|1|1
M_7.36.2|mbr|Q_7.36||P_25|158.02|841-DKNM|1|||||2022-03-20|13|New Julie|DE|4|1|0
M_7.37.0|mbr|Q_7.37||P_407|557.46|217611|1|||||2022-03-18|9|New David|AR|0|0|1
M_7.37.1|mbr|Q_7.37||P_320|197.12|0214 EA|1|||||2021-01-05|11|East David|NC|3|0|0
M_7.37.2|mbr|Q_7.37||P_253|389.76|7O 9D1VYO|3|||||2021-04-24|10|North Josephstad|WY|1|1|1
M_7.38.0|mbr|Q_7.38||P_356|940.78|3EY 105|0|||||2021-07-13|3|New Deborahtown|CT|0|1|1
M_7.38.1|mbr|Q_7.38||P_31|604.46|652717|1|||||2022-02-21|12|Johnview|AR|4|0|0
M_7.38.2|mbr|Q_7.38||P_56|291.57|VZ-5234|0|||||2021-08-23|3|Frankstad|ME|1|1|1
M_7.39.0|mbr|Q_7.39||P_201|884.65|406-GYV|0|||||2021-04-01|11|Fischerside|TN|4|1|0
M_7.40.0|mbr|Q_7.40||P_116|390.64|63D•174|2|||||2022-01-26|5|Port Justinborough|FL|5|0|1
M_7.40.1|mbr|Q_7.40||P_37|201.28|TQJ 921|2|||||2021-03-25|1|Hoffmanstad|MS|2|0|0
M_7.40.2|mbr|Q_7.40||P_460|768.88|4G 7910X|3|||||2021-05-07|4|Monicamouth|AK|4|0|1
M_7.41.0|mbr|Q_7.41||P_303|216.54|NGQ 276|2|||||2021-03-14|4|North Jennifer|SD|5|1|0
M_7.41.1|mbr|Q_7.41||P_59|512.55|5-23683C|0|||||2021-02-23|6|Kelleymouth|AR|2|0|1
M_7.42.0|mbr|Q_7.42||P_252|688.9|3S 5A1EGF|1|||||2021-01-05|8|North Judith|IA|2|1|1
M_7.42.1|mbr|Q_7.42||P_196|185.03|5-I8095|2|||||2022-04-21|2|North Lisaville|ID|2|1|1
M_7.43.0|mbr|Q_7.43||P_71|555.52|CIN-082|3|||||2021-10-05|11|Lake Sarah|ND|3|1|1
M_7.43.1|mbr|Q_7.43||P_284|715.36|3805|1|||||2021-08-13|6|East Julie|TX|2|0|0
M_7.44.0|mbr|Q_7.44||P_39|818.63|144-AWW|3|||||2021-08-13|0|Scottton|VA|5|1|1
M_7.45.0|mbr|Q_7.45||P_130|666.99|525 YQ6|1|||||2021-11-03|6|South David|WV|5|1|0
M_7.45.1|mbr|Q_7.45||P_490|405.84|9Y298|2|||||2021-01-11|5|East Kelly|WV|4|1|0
M_7.46.0|mbr|Q_7.46||P_479|839.02|LSK 344|1|||||2021-12-28|10|Joshuashire|VT|3|0|0
M_7.46.1|mbr|Q_7.46||P_493|741.34|KKH 519|3|||||2021-08-29|10|Duaneton|CA|6|1|1
M_7.48.0|mbr|Q_7.48||P_255|872.39|6DG 156|0|||||2021-12-07|8|Jacksonfurt|NC|5|0|0
M_7.49.0|mbr|Q_7.49||P_265|649.11|8H P5846|2|||||2021-11-06|1|Pollardstad|WA|1|0|0
M_7.49.1|mbr|Q_7.49||P_270|418.79|KY4 1583|1|||||2021-06-12|12|Johnsonside|AZ|1|1|1
M_7.51.0|mbr|Q_7.51||P_482|814.81|263BQY|2|||||2021-08-08|13|Stephenberg|MD|4|0|1
M_7.53.0|mbr|Q_7.53||P_34|287.99|HEV-9767|1|||||2021-09-03|3|East Kathryn|MO|2|1|0
M_7.54.0|mbr|Q_7.54||P_319|897.3|456 BDY|0|||||2021-04-08|3|Port Christine|MD|0|1|1
M_7.55.0|mbr|Q_7.55||P_190|972.78|MSX 337|0|||||2022-03-06|8|Bradleychester|HI|1|1|1
M_7.56.0|mbr|Q_7.56||P_122|754.66|38-V975|1|||||2021-06-01|11|Port Amandahaven|MI|2|1|0
M_7.56.1|mbr|Q_7.56||P_356|844.87|92-0395O|1|||||2021-06-05|0|Port Joseph|LA|5|0|0
M_7.56.2|mbr|Q_7.56||P_412|406.39|291 VFE|3|||||2021-10-06|3|Jeffreymouth|UT|2|1|1
M_7.57.0|mbr|Q_7.57||P_299|449.41|680-HVY|3|||||2021-03-16|12|Dawsontown|LA|5|0|0
M_7.57.1|mbr|Q_7.57||P_29|269.97|OAM 997|1|||||2021-10-25|3|Port Melissaport|ME|5|1|1
M_7.57.2|mbr|Q_7.57||P_58|724.01|7MU1393|0|||||2022-03-10|11|Wileyshire|ID|6|1|1
M_7.58.0|mbr|Q_7.58||P_103|447.02|600-TMBJ|1|||||2021-04-21|5|North Rebeccaville|NH|6|0|1
M_7.58.1|mbr|Q_7.58||P_145|609.4|XOJ-6247|0|||||2022-03-30|4|West Danielle|LA|6|1|1
M_7.58.2|mbr|Q_7.58||P_445|735.92|826TLH|2|||||2022-03-21|13|Youngton|HI|1|1|1
M_7.60.0|mbr|Q_7.60||P_431|969.59|745-ZXA|1|||||2021-06-27|2|West Brian|AZ|3|1|0
M_7.60.1|mbr|Q_7.60||P_95|900.93|50TN5|3|||||2021-02-20|6|New Bruceport|SC|4|0|1
M_7.60.2|mbr|Q_7.60||P_393|729.55|OCS-551|2|||||2021-01-30|0|Ramosshire|WA|3|0|1
M_7.61.0|mbr|Q_7.61||P_291|470.81|9YNX230|1|||||2021-05-02|4|Lewisberg|OR|6|1|1
M_7.61.1|mbr|Q_7.61||P_495|620.95|2FY1989|3|||||2022-01-01|1|New Paulville|LA|5|0|1
M_7.61.2|mbr|Q_7.61||P_258|930.58|42TS2|1|||||2022-03-02|10|Michaeltown|VA|1|1|1
M_7.62.0|mbr|Q_7.62||P_14|838.09|UKG0964|2|||||2021-01-26|4|Robbinsville|SC|6|0|1
M_7.63.0|mbr|Q_7.63||P_39|407.83|71B 4570|0|||||2021-10-08|0|Josephburgh|IN|3|1|1
M_7.63.1|mbr|Q_7.63||P_489|813.92|6F 51663|2|||||2021-12-09|13|Shaneton|NH|1|0|0
M_7.63.2|mbr|Q_7.63||P_13|901.6|117NL|2|||||2021-01-06|6|West Samanthafort|MO|0|1|1
M_7.64.0|mbr|Q_7.64||P_126|403.09|433-ZQO|1|||||2021-12-11|7|Zacharyfort|AL|3|1|1
M_7.64.1|mbr|Q_7.64||P_69|143.01|QBX-9423|3|||||2022-04-27|1|Lake Katherineburgh|WA|5|0|0
M_7.66.0|mbr|Q_7.66||P_416|542.72|UER-4184|2|||||2022-02-20|6|Kristenshire|WV|1|0|0
M_7.68.0|mbr|Q_7.68||P_454|603.33|GWD 286|0|||||2021-04-26|4|Monroeside|KY|1|1|0
M_7.69.0|mbr|Q_7.69||P_121|325.19|PLB-974|2|||||2022-02-15|5|Liuland|WA|0|1|1
M_7.69.1|mbr|Q_7.69||P_253|192.47|CFV1209|0|||||2022-04-05|4|Lake Paulshire|CA|0|0|1
M_7.69.2|mbr|Q_7.69||P_434|945.72|2CA28|2|||||2021-07-31|5|Mooreport|MI|5|0|0
M_7.71.0|mbr|Q_7.71||P_346|484.35|080950|1|||||2021-03-18|6|Cindyborough|WA|6|0|0
M_7.72.0|mbr|Q_7.72||P_92|618.03|H37 4DG|0|||||2021-07-28|10|Larsonton|ID|3|0|0
M_7.72.1|mbr|Q_7.72||P_469|966.67|BMU0747|1|||||2022-01-26|6|West Vanessastad|AR|3|1|0
M_7.73.0|mbr|Q_7.73||P_142|138.43|011 QQG|1|||||2021-12-27|8|Nelsonborough|NE|6|0|1
M_7.73.1|mbr|Q_7.73||P_379|199.71|04S SM1|2|||||2021-12-30|13|South Samanthaberg|VT|2|1|0
M_7.74.0|mbr|Q_7.74||P_450|740.37|965JYU|0|||||2021-08-03|1|East Ronaldside|MI|1|1|0
M_7.74.1|mbr|Q_7.74||P_452|822.16|UM 52092|3|||||2021-06-06|8|Steveview|SC|2|0|1
M_7.75.0|mbr|Q_7.75||P_416|136.55|5AD 678|3|||||2021-11-06|6|Woodsfurt|DE|4|1|1
M_7.77.0|mbr|Q_7.77||P_473|691.29|LUI 331|2|||||2021-07-03|6|Bradside|OR|1|0|0
M_7.77.1|mbr|Q_7.77||P_459|629.66|CPW-9917|2|||||2021-01-07|4|Port Luke|MD|2|1|0
M_7.79.0|mbr|Q_7.79||P_134|159.4|D91 1LG|0|||||2022-02-09|11|Garciahaven|DE|1|1|0
M_7.79.1|mbr|Q_7.79||P_315|932.32|KVH-5981|1|||||2021-08-30|0|North Briana|KY|5|1|1
M_7.79.2|mbr|Q_7.79||P_402|715.49|HJK 219|3|||||2021-09-23|13|North Mackenzieberg|NC|5|1|0
M_7.80.0|mbr|Q_7.80||P_19|878.58|98XR2|1|||||2021-11-29|10|Roberttown|DE|0|0|1
M_7.81.0|mbr|Q_7.81||P_251|652.43|0MH 605|0|||||2021-02-01|11|Matthewtown|LA|3|0|1
M_7.81.1|mbr|Q_7.81||P_261|207.17|MII-342|2|||||2021-02-11|4|North Louisberg|MS|5|1|1
M_7.81.2|mbr|Q_7.81||P_323|278.73|CMV 194|1|||||2022-01-04|4|West Michaelfurt|MI|3|0|1
M_7.83.0|mbr|Q_7.83||P_382|690.13|XNG-359|0|||||2021-01-29|5|Margaretside|HI|0|0|1
M_7.83.1|mbr|Q_7.83||P_65|856.12|2-5382P|0|||||2021-02-26|7|South Douglasfort|AR|4|0|0
M_7.85.0|mbr|Q_7.85||P_468|858.75|680 KRM|1|||||2022-02-21|8|Raymondmouth|NC|4|1|0
M_7.85.1|mbr|Q_7.85||P_406|785.46|2L YL210|1|||||2021-09-07|0|Port Jennifer|MI|5|1|0
M_7.85.2|mbr|Q_7.85||P_231|764.32|6-8828S|1|||||2022-04-05|9|Jeffreybury|ND|6|0|0
M_7.88.0|mbr|Q_7.88||P_27|472.22|49B N17|2|||||2022-02-11|2|Thompsonchester|KY|3|0|1
M_7.88.1|mbr|Q_7.88||P_108|995.23|822-IEED|3|||||2021-10-22|6|New Katrina|RI|6|1|0
M_7.89.0|mbr|Q_7.89||P_260|933.67|LQB 833|2|||||2021-03-04|13|Helenshire|WA|1|1|0
M_7.89.1|mbr|Q_7.89||P_301|949.54|PFO 838|0|||||2021-10-29|3|Ericksonchester|CO|5|1|1
M_7.91.0|mbr|Q_7.91||P_375|414.39|07-83353|2|||||2021-02-05|7|South Shawnshire|NE|1|1|0
M_7.91.1|mbr|Q_7.91||P_75|507.31|465 FWK|1|||||2021-07-29|8|Lake Sarah|GA|1|1|0
M_7.91.2|mbr|Q_7.91||P_305|256.87|Z02-84L|0|||||2021-11-06|2|East Ashleyton|NV|5|1|1
M_7.92.0|mbr|Q_7.92||P_484|759.1|0L817|3|||||2021-07-22|12|Rickeytown|MS|6|1|1
M_7.93.0|mbr|Q_7.93||P_457|327.36|7-31603|1|||||2021-06-22|10|New Dominiqueside|WI|1|1|0
M_7.93.1|mbr|Q_7.93||P_451|431.95|07NY667|1|||||2021-07-16|4|South Erinmouth|CT|4|0|1
M_7.93.2|mbr|Q_7.93||P_51|319.81|ZEL 838|1|||||2021-09-02|1|South Joel|SD|4|0|1
M_7.95.0|mbr|Q_7.95||P_220|712.51|2971 FD|1|||||2021-04-03|10|Ryanview|NY|2|1|0
M_7.96.0|mbr|Q_7.96||P_334|732.1|516KPU|3|||||2022-01-30|9|South Brenda|MI|6|1|1
M_7.96.1|mbr|Q_7.96||P_123|938.01|324 0521|0|||||2021-08-04|12|Richardsonburgh|AL|4|1|1
M_7.96.2|mbr|Q_7.96||P_186|580.3|DP6 D2C|3|||||2021-09-14|4|Josephchester|ID|1|0|1
M_7.97.0|mbr|Q_7.97||P_222|159.29|IMZ 110|2|||||2021-10-05|0|Port Danielshire|RI|1|0|1
M_7.97.1|mbr|Q_7.97||P_387|559.59|5DI3034|1|||||2022-03-26|7|Sextonstad|IN|6|1|1
M_7.97.2|mbr|Q_7.97||P_272|266.85|7SU5654|2|||||2021-11-27|7|East Kyle|ME|3|1|1
M_7.98.0|mbr|Q_7.98||P_225|890.71|193 4YA|2|||||2022-04-29|11|Maryfurt|NJ|6|1|0
M_7.98.1|mbr|Q_7.98||P_325|284.84|827-105|2|||||2021-06-01|11|New Michael|OR|1|0|0
M_7.98.2|mbr|Q_7.98||P_244|256.88|31PJ2|3|||||2021-03-27|10|South Jamesport|NC|4|0|1
M_7.99.0|mbr|Q_7.99||P_409|941.99|5O CO455|1|||||2021-11-06|4|Angelashire|WA|2|0|0
M_7.99.1|mbr|Q_7.99||P_499|427.62|7-75529|3|||||2021-11-20|13|Moranmouth|CA|6|1|1
M_7.99.2|mbr|Q_7.99||P_428|502.5|SBV 306|1|||||2021-08-31|1|Port Jill|SC|0|0|0
M_8.1.0|mbr|Q_8.1||P_261|256.88|MR 3874|2|||||2021-05-01|4|West Lauraville|IA|1|0|0
M_8.2.0|mbr|Q_8.2||P_112|515.37|1T GP450|1|||||2021-08-06|12|Derrickstad|KS|3|0|0
M_8.2.1|mbr|Q_8.2||P_44|885.02|LTJ 991|0|||||2022-03-13|1|West Benjamin|GA|3|0|1
M_8.2.2|mbr|Q_8.2||P_0|349.48|4-Y1834|3|||||2021-04-09|7|Lake Jorgeview|WY|0|1|1
M_8.3.0|mbr|Q_8.3||P_416|204.33|2-D1349|1|||||2021-09-10|9|Markberg|VT|5|1|0
M_8.3.1|mbr|Q_8.3||P_276|690.78|NMM-8560|0|||||2022-04-21|10|New Nancy|VA|6|0|1
M_8.4.0|mbr|Q_8.4||P_114|247.97|X86-WOV|1|||||2022-04-25|9|South Courtney|IA|4|0|0
M_8.4.1|mbr|Q_8.4||P_133|880.03|394-BZK|0|||||2021-10-08|6|Lake Donnaville|CT|1|1|1
M_8.5.0|mbr|Q_8.5||P_228|230.29|8OKS216|2|||||2021-05-17|6|Dudleybury|CT|4|0|1
M_8.5.1|mbr|Q_8.5||P_220|949.69|679-VZY|2|||||2021-07-10|12|Hopkinsborough|TN|4|1|1
M_8.5.2|mbr|Q_8.5||P_72|764.08|1BZR479|2|||||2022-01-22|2|Melissamouth|NH|4|1|1
M_8.6.0|mbr|Q_8.6||P_249|614.2|LGV 137|2|||||2021-07-20|6|Padillaland|VT|0|0|1
M_8.6.1|mbr|Q_8.6||P_37|325.02|TB 0358|0|||||2021-01-25|10|Robertsonstad|CA|3|0|1
M_8.8.0|mbr|Q_8.8||P_8|578.87|MYU 863|0|||||2021-11-28|2|South Annamouth|TN|2|0|1
M_8.11.0|mbr|Q_8.11||P_107|884.36|FM5 9815|3|||||2021-08-09|11|Angelahaven|MI|5|0|1
M_8.11.1|mbr|Q_8.11||P_299|229.25|42-05084|2|||||2021-06-24|5|Port Michaelbury|OK|1|0|0
M_8.12.0|mbr|Q_8.12||P_103|138.47|401-832|0|||||2021-01-04|8|New Elizabeth|TN|1|1|1
M_8.13.0|mbr|Q_8.13||P_101|895.66|JGG 723|1|||||2021-07-21|1|North Michaelchester|NY|2|0|0
M_8.14.0|mbr|Q_8.14||P_499|329.38|79M B64|3|||||2021-02-14|3|Valenzuelaborough|WY|2|0|0
M_8.15.0|mbr|Q_8.15||P_49|781.93|486-GBV|3|||||2021-05-07|1|Reyesberg|WI|6|0|1
M_8.15.1|mbr|Q_8.15||P_449|178.38|967-TVF|1|||||2021-09-13|8|Port Brianside|ME|3|0|0
M_8.15.2|mbr|Q_8.15||P_116|640.47|0ZS Z56|2|||||2021-05-29|13|Randallton|WI|2|1|1
M_8.16.0|mbr|Q_8.16||P_130|758.7|808-HKS|1|||||2021-02-27|9|East Allison|IA|6|0|1
M_8.17.0|mbr|Q_8.17||P_351|619.55|00J•173|0|||||2021-03-08|7|North Christina|IL|0|1|0
M_8.17.1|mbr|Q_8.17||P_451|276.06|OR 4357|0|||||2022-04-09|0|New Adam|IN|2|1|0
M_8.17.2|mbr|Q_8.17||P_114|178.33|ALQ4343|1|||||2021-10-06|4|Hendersonmouth|HI|6|1|0
M_8.18.0|mbr|Q_8.18||P_14|884.88|838 NP0|3|||||2021-08-29|6|Watkinston|WV|6|0|0
M_8.19.0|mbr|Q_8.19||P_422|704.69|45FD6|3|||||2021-05-25|12|Leemouth|HI|5|0|0
M_8.19.1|mbr|Q_8.19||P_437|224.25|7ES 276|2|||||2021-01-24|4|New Joeland|SC|4|1|1
M_8.19.2|mbr|Q_8.19||P_361|952.93|03Y•856|0|||||2021-11-25|3|Port Christopher|AL|5|1|0
M_8.21.0|mbr|Q_8.21||P_17|835.59|7K 4400O|1|||||2021-12-11|10|West Nataliestad|MO|3|0|0
M_8.21.1|mbr|Q_8.21||P_79|882.09|4Q211|1|||||2021-11-20|9|South Andrewville|NV|4|1|1
M_8.22.0|mbr|Q_8.22||P_438|641.46|RUE 7930|1|||||2021-12-18|9|Chavezfort|AR|2|1|0
M_8.22.1|mbr|Q_8.22||P_119|296.96|9E O0235|3|||||2022-04-25|1|East Jonathan|MI|3|1|1
M_8.22.2|mbr|Q_8.22||P_46|427.75|239 LOK|3|||||2021-01-09|10|Tranton|NY|0|0|1
